input,validity,validityText,baseline,coverage
"subjects: a baker
characteristics: flour-dusted apron, focused hands
timing: early morning
lighting: warm kitchen light
background: a rustic bakery
feeling: warmth and simplicity",ok,"The input describes a desired AI photo focusing on the subject first and their characteristics by mentioning a baker with a flour-dusted apron and focused hands. It includes details on timing and lighting with ""early morning"" and ""warm kitchen light."" The background and setting are described as ""a rustic bakery."" The feeling the image should evoke is ""warmth and simplicity."" The input is written in English, combines artistic insight with precise imagery, is under 80 words, and is written in a single paragraph.

OK",1,"Capture a baker in a flour-dusted apron, hands skillfully kneading dough, set in a rustic bakery. The image should be taken in the early morning, illuminated by the warm glow of kitchen light filtering through wooden beams. Flour scattered softly on the work surface enhances the scene. The background showcases rustic bread on wooden shelves, evoking a sense of warmth and simplicity, inviting viewers into the comforting world of baking."
"subjects: a snowboarder
characteristics: vibrant gear, mid-jump
timing: midday
lighting: bright, crisp light
background: snowy mountain slopes
feeling: excitement and adventure",ok,"The input is a concise user description of a desired AI photo. It is written in a single paragraph and does not exceed 80 words. The input includes the subjects (snowboarder) and their characteristics (vibrant gear, mid-jump), details on timing (midday) and lighting (bright, crisp light), background and setting (snowy mountain slopes), and the feeling the image should evoke (excitement and adventure). The description combines artistic insight with precise imagery and is written in English.

OK",1,"Capture an exhilarating moment of a snowboarder in vibrant gear, mid-jump, showcasing their dynamic pose and skill. The photo should be taken at midday, utilizing bright, crisp light that highlights the snow and adds vibrancy to the scene. In the background, expansive snowy mountain slopes stretch out, enhancing the sense of scale and adventure. The image should evoke feelings of excitement and a thirst for outdoor adventure, embodying the spirit of winter sports."
"subjects: a girl with a bicycle
characteristics: playful expression, casual clothes
timing: sunny afternoon
lighting: bright, natural light
background: a small town street
feeling: joy and freedom",ok,"The input is a user description of a desired AI photo. It does not exceed 80 words and is written in a single paragraph. The input focuses on the subjects (a girl with a bicycle) and their characteristics (playful expression, casual clothes). It includes details on timing (sunny afternoon) and lighting (bright, natural light). The input describes the background and setting (a small town street) and conveys the feeling the image should evoke (joy and freedom). The input combines artistic insight with precise imagery and is written in English.

OK",1,"A girl with a playful expression, dressed in casual clothes, rides her bicycle down a small town street on a sunny afternoon. The bright, natural light enhances her cheerful demeanor, casting soft shadows and illuminating the vibrant surroundings. Quaint buildings and a clear blue sky form the backdrop, creating an inviting atmosphere. This scene should evoke feelings of joy and freedom, capturing the essence of carefree moments in life."
"subjects: a photographer
characteristics: focused eyes, camera in hand
timing: sunrise
lighting: soft, golden light
background: a misty forest
feeling: dedication and serenity",ok,"The input given has several characteristics specified from the input specification. It describes ""a photographer"" as the subject with characteristics ""focused eyes, camera in hand."" It mentions the timing as ""sunrise"" and the lighting ""soft, golden light."" The background is ""a misty forest,"" and the feeling evoked should be ""dedication and serenity."" The input does not exceed 80 words and is written in a single paragraph. It combines artistic insight with precise imagery.

OK",1,"Capture a photographer with focused eyes, clutching a camera in hand, set against a misty forest backdrop bathed in soft golden light from the rising sun. The early morning ambiance highlights the tranquility of the scene, as ethereal fog weaves through the trees. The image should evoke a sense of dedication and serenity, showcasing the harmonious connection between the photographer and the enchanting natural environment."
"subjects: a horse and rider
characteristics: strong, poised horse, confident rider
timing: midday
lighting: bright, natural light
background: a sprawling ranch
feeling: freedom and connection",ok,"The input provided is a description of a desired AI photo. It does not exceed 80 words. It is written in a single paragraph. The input starts with the subjects and their characteristics: ""a horse and rider,"" ""strong, poised horse, confident rider."" It includes details on timing and lighting: ""midday,"" ""bright, natural light."" It describes the background and setting: ""a sprawling ranch."" It conveys the feeling the image should evoke: ""freedom and connection."" The input is written in English and combines artistic insight with precise imagery. 

OK",1,"Capture a strong, poised horse alongside a confident rider during midday, bathed in bright, natural light. The scene unfolds against a sprawling ranch, showcasing expansive green fields and rustic barns in the distance. The horse’s powerful stance and the rider's assured posture highlight their bond and mastery. This image should evoke a feeling of freedom and connection, celebrating the partnership between horse and rider in a vibrant, picturesque setting."
"subjects: a couple on a boat
characteristics: relaxed postures, smiling faces
timing: late afternoon
lighting: warm, setting sun
background: a serene lake
feeling: peace and romance",ok,"The input complies with the word count and is written in a single paragraph. It focuses on the subjects and their characteristics first, includes details on timing and lighting, describes the background and setting, and conveys the feeling the image should evoke. It combines artistic insight with precise imagery.

OK",1,"Capture a couple on a boat, embodying relaxed postures and bright, smiling faces, as they enjoy their time together. The scene is set in the late afternoon, bathed in warm light from the setting sun, which casts a golden glow across the tranquil surface of a serene lake. Surrounding them, lush trees and distant hills create a picturesque backdrop. The image should evoke a sense of peace and romance, showcasing the joy of togetherness in nature's embrace."
"subjects: a young woman with a guitar
characteristics: casual clothes, focused expression
timing: late evening
lighting: soft, lamp light
background: a cozy room with musical instruments
feeling: creativity and solitude",ok,"The input specifies the subjects and their characteristics (a young woman with a guitar in casual clothes with a focused expression). It mentions the timing and lighting (late evening with soft lamp light). It also describes the background and setting (a cozy room with musical instruments) and conveys the feeling the image should evoke (creativity and solitude). The description is concise and written in one paragraph, not exceeding 80 words, and is in English.

OK",1,"Capture a young woman dressed in casual clothes, holding a guitar with a focused expression, in a cozy room filled with musical instruments. The scene is set in the late evening, illuminated by soft lamp light that creates a warm glow. The background showcases the inviting details of the room, enhancing the intimate atmosphere. The image should evoke a sense of creativity and solitude, highlighting the beauty of personal reflection and artistic expression."
"subjects: a pianist
characteristics: graceful fingers, focused face
timing: evening
lighting: dim, indoor light
background: a grand piano in a softly lit room
feeling: elegance and passion",ok,"The input provides a user description of a desired AI photo. It mentions the subjects and their characteristics: a pianist with graceful fingers and a focused face. It includes details on timing and lighting (evening, dim indoor light). The background and setting are described as a grand piano in a softly lit room. The input conveys the feeling of elegance and passion. The input is written in a single paragraph and does not exceed 80 words. The description combines artistic insight with precise imagery and is written in English.

OK",1,"Capture a pianist with graceful fingers dancing over the keys, showcasing a focused expression. Set this scene in the dim glow of evening indoor light, creating an intimate atmosphere. The background features a grand piano in a softly lit room, enhancing the elegance of the moment. The overall image should evoke feelings of elegance and passion, immersing the viewer in the beauty of music and artistry."
"subjects: an office worker
characteristics: focused face, casual business attire
timing: mid-morning
lighting: natural, filtered light from windows
background: an open-plan office
feeling: determination and productivity",ok,"The input description is concise and fits the word limit and the single paragraph specification. It starts by describing the subjects and their characteristics (an office worker with a focused face, casual business attire). Then, it details the timing (mid-morning) and lighting (natural, filtered light from windows). The background is described (an open-plan office), and the feeling to be evoked is mentioned (determination and productivity). Furthermore, the input is written in English and combines artistic insight with precise imagery.
OK",1,"Capture an office worker with a focused expression, dressed in casual business attire, in an open-plan office setting. The scene is set in mid-morning, illuminated by natural, filtered light streaming through the windows. The background showcases an energetic workspace, with colleagues engaged in their tasks, emphasizing a sense of activity. The overall feeling of the image should evoke determination and productivity, highlighting the worker's commitment amidst the bustling environment."
"subjects: a chef holding a freshly baked pie
characteristics: proud smile, warm pie
timing: late morning
lighting: natural, kitchen light
background: a rustic kitchen with wooden counters
feeling: satisfaction and homey warmth",ok,"The input describes the desired AI photo with subjects and their characteristics first, mentioning a chef holding a freshly baked pie and having a proud smile. It includes details on timing (late morning) and lighting (natural, kitchen light). It also describes the background and setting (a rustic kitchen with wooden counters) and conveys the feeling to evoke (satisfaction and homey warmth). The description is written in English, consists of a single paragraph, and does not exceed 80 words. Additionally, it combines artistic insight with precise imagery.

OK",1,"Capture a proud chef in a rustic kitchen, holding a freshly baked pie with a warm golden crust. The chef, wearing a traditional white apron and hat, beams with satisfaction, showcasing a genuine smile. It's late morning, with soft, natural sunlight pouring in, illuminating the wooden counters and enhancing the cozy atmosphere. The scene should evoke feelings of homey warmth and achievement, inviting viewers to savor the joy of culinary creation."
"subjects: a man painting a fence
characteristics: casual clothes, determined face
timing: morning
lighting: bright, clear light
background: a suburban backyard
feeling: diligence and accomplishment",ok,"The input specifies the subjects and their characteristics: a man in casual clothes with a determined face painting a fence. It mentions the timing and lighting: morning with bright, clear light. It describes the background and setting: a suburban backyard. It also conveys the feeling: diligence and accomplishment. Additionally, it is written in English, uses artistic insight, and contains precise imagery. The input does not exceed 80 words and is a single paragraph.

OK",1,"Capture a scene of a man in casual clothes, with a determined expression, focused on painting a fence. It's a bright morning with clear light enhancing the vibrant colors of the suburban backyard around him, showcasing neatly trimmed grass and blooming flowers in the background. The image should evoke a sense of diligence and accomplishment, reflecting his hard work and dedication to his task."
